"province_country","day_100","Confirmed"
"Maharashtra, India",68,604358
"Sao Paulo, Brazil",89,702665
"Texas, US",153,561110
"Argentina",151,305966
"South Africa",153,592144
"Andhra Pradesh, India",69,306261
"California, US",161,638140
"Florida, US",156,579932
"Maharashtra, India",69,615477
"Sao Paulo, Brazil",90,711530
"Texas, US",154,568812
"Argentina",152,312659
"South Africa",154,596060
"Andhra Pradesh, India",70,316003
"California, US",162,647274
"Florida, US",157,584047
"Maharashtra, India",70,628642
"Sao Paulo, Brazil",91,721377
"Texas, US",155,574633
"Argentina",153,320884
"South Africa",155,599940
"Andhra Pradesh, India",71,325396
"California, US",163,652267
"Florida, US",158,588602
"Maharashtra, India",71,643289
"Sao Paulo, Brazil",92,730828
"Texas, US",156,579892
"Argentina",154,329043
"South Africa",156,603338
"Andhra Pradesh, India",72,334940
"California, US",164,658900
"Florida, US",159,593286
"Maharashtra, India",72,657450
"Sao Paulo, Brazil",93,735960
"Texas, US",157,585632
"Argentina",155,336802
"South Africa",157,607045
"Andhra Pradesh, India",73,345216
"California, US",165,664435
"Florida, US",160,597597
"Maharashtra, India",73,671942
"Sao Paulo, Brazil",94,749244
"Texas, US",158,589349
"Argentina",156,342154
"South Africa",158,609773
"Andhra Pradesh, India",74,353111
"California, US",166,669280
"Florida, US",161,600571
"Maharashtra, India",74,682383
"Sao Paulo, Brazil",95,754129
"Texas, US",159,594173
"Argentina",157,350867
"South Africa",159,611450
"Andhra Pradesh, India",75,361712
"California, US",167,675561
"Florida, US",162,602829
"Maharashtra, India",75,693398
"Sao Paulo, Brazil",96,756480
"Texas, US",160,598450
"Argentina",158,359638
"South Africa",160,613017
"Andhra Pradesh, India",76,361712
"California, US",168,681032
"Florida, US",163,605502
"Maharashtra, India",76,703823
"Sao Paulo, Brazil",97,765670
"Texas, US",161,604328
"Argentina",159,370188
"South Africa",161,615701
"Andhra Pradesh, India",77,382469
"California, US",169,687004
"Florida, US",164,608722
"Maharashtra, India",77,718711
"Sao Paulo, Brazil",98,776135
"Texas, US",162,610648
"Argentina",160,380292
"South Africa",162,618286
"Andhra Pradesh, India",78,393090
"California, US",170,691821
"Florida, US",165,611991
"Maharashtra, India",78,733568
"Sao Paulo, Brazil",99,784453
"Texas, US",163,614549
"Argentina",161,392009
"South Africa",163,620132
"Andhra Pradesh, India",79,403616
"California, US",171,697385
"Florida, US",166,615806
"Maharashtra, India",79,747995
"Sao Paulo, Brazil",100,796209
"Texas, US",164,619354
"Argentina",162,401239
"South Africa",164,622551
"Andhra Pradesh, India",80,414164
"California, US",172,702038
"Florida, US",167,619003
"Maharashtra, India",80,764281
"Sao Paulo, Brazil",101,801422
"Texas, US",165,626751
"Argentina",163,408426
"South Africa",165,625056
"Andhra Pradesh, India",81,424767
"California, US",173,705951
"Florida, US",168,621586
"Maharashtra, India",81,780689
